Utterance,Service
Is that train leaving from Cambridge?,2
Do you mean 16:01? If so I would like to book that one for 6 people and I need the reference number.,2
I'm looking for a hotel called the Arbury Lodge Guesthouse. Do you have a listing for this?,1
"Are you sure, but if not, book the Super 5 for 8 people for 5 nights starting Monday. I will need the reference number.",1
"I'm looking for a British restaurant, in the expensive price range.",0
"Graffiti sounds good. I'll need a table for four on Thursday at 16:45, please.",0
Find me a moderately priced place to eat in the South,0
Find me a moderately priced place to eat in the South,2
Restaurant Alimentum sounds interesting. Can you get me a table for 3 at 14:45 on Friday?,0
Restaurant Alimentum sounds interesting. Can you get me a table for 3 at 14:45 on Friday?,2
Great I also need a train on the same day as the restaurant booking heading to cambridge.,2
I'll be leaving from leicester. I want to arrive at cambridge by 11:15.,2
"Can you give me the price, train ID and travel time please?",2
"I'm looking for a cheap place to dine, preferably in the centre of town.",0
"Yes, what restaurants are there?",0
Charlie Chan sounds good. Thank you!,0
I'd like to book 4 people at 14:15 on Friday.,0
I'm looking for a vietnamese restaurant in the west area.,0
Is this in the cheap price range?,0
Would it be possible to make a reservation?,0
I need it for 1 for 18:15 on Monday.,0
Can I also get some information on Kirkwood House hotel?,1
Sounds perfect. What is the phone number please?,1
I am looking for a restaurant named kymmoy.,0
Yes. I need a table booked for 7 on saturday.,0
20:00 on Saturday.,0
What kind of attractions are available in the centre?,2
Can I get the info to a cinema please?,2
That sounds good. What is the entrance fee?,2
"May I have the phone number for the vue cinema, please?",2
"Hi, I'd like to find out about the Limehouse hotel.",1
i am looking for a train from london kings cross and leaves on wednesday,2
I am looking to book a train that arrives by 13:30. Are there any that fit that description?,2
"No, I just need to know how much it is.",2
Sounds great. Is TR2417 the train ID?,2
I will also need the departure time please.,2
I need to book a taxi from clowns cafe.,2
"Clowns cafe, please.",2
I will be leaving from there and going to primavera,2
I would like to leave around 22:00 please and thank you.,2
I need a resturant that serves British food.,0
"I am open to any price range, but am looking for somewhere located in the centre area of town.",0
"I am open to any price range, but am looking for somewhere located in the centre area of town.",1
Yes can I please get more info.,0
May I also get the address for the restaurant?,0
Yes I need to find a place to stay in the centre area. It should be a 4 star guesthouse with free wifi.,0
Yes I need to find a place to stay in the centre area. It should be a 4 star guesthouse with free wifi.,1
"You're the help desk, please tell me what you find.",1
I don't need a reservation but would like the address please.,1
i also need a taxi to commute between the two places,2
It's just for me and I want the taxi to leave the hotel by 08:00.,2
That's it. Thank you so much for your help.,2
Hi I'm looking to find a restaurant named Sitar Tandoori.,0
Are there any tables available to be reserved for 4 people on Saturday night?,0
yes reserve for 4 people at 19:30 on saturday.,0
yes reserve for 4 people at 19:30 on saturday.,2
Im also looking for a museum to visit.,2
"Yes, can you recommend a place?",2
"Doesn't matter to me, it's my folks who want to go. What do you recommend?",2
"Yes, the phone number and entrance fee please.",2
"Yes, can you arrange a taxi to take us from the gallery to the restaurant in time for our reservation?",2
"Yes, can you arrange a taxi to take us from the gallery to the restaurant in time for our reservation?",0
I am looking for somewhere yummy to eat! I would like to stay around the centre and have some italian if at all possible,0
I am looking for somewhere yummy to eat! I would like to stay around the centre and have some italian if at all possible,2
Something expensive. I'd like to treat my family to some great food.,0
Great! Can you book me a table for 8 at 12:30 on Sunday?,0
I am also looking for places to go. I need a attraction in the same area as the restaurant.,2
Anything in the centre area what do you recommend?,0
Anything in the centre area what do you recommend?,2
"That sounds good, thank you for your help!",2
I'm looking for a hotel with free parking in the north.,1
I would like a moderately priced hotel. Preferably a guesthouse.,1
That doesn't matter. Can you book a room for 4 people at your favorite? We'll arrive on Friday and stay for 3 nights.,1
The four of us want to take a train on Sunday from Cambridge to bishops stortford. Sometime after 15:00.,1
The four of us want to take a train on Sunday from Cambridge to bishops stortford. Sometime after 15:00.,2
"Yeah, book the one that leaves at 15:29 please, for 4 people. Give me the reference number too.",2
"I need a restaurant in the west that serves Hungarian cuisine,",0
"I need a restaurant in the west that serves Hungarian cuisine,",1
I guess let's check and see if there are any Hungarian restaurants in other parts of town. What is in the south?,0
Are there any restaurants in the west and in the expensive price range that serves indian food?,0
Are there any restaurants in the west and in the expensive price range that serves indian food?,1
"Is this location in the west? If so yes, i would like to book a table.",0
"Is this location in the west? If so yes, i would like to book a table.",1
Please book a table for 7 people at 11:45 on monday.,0
Let's try 10:45.,0
Let's try 10:45.,2
"Yes, I am also looking for a three star hotel located in the same area as the restaurant.",1
"Great, can I please have the address and phone number?",1
"Actually, yes. I need a taxi to transport between the two places. I want to make sure it arrives at Cocum at the booked time. Any ideas?",2
Can I get the contact number and car type please.,2
I'm looking for architecture attractions in the centre.,2
Not necessarily. Which is your favorite?,2
"Ok, can I get the postcode, phone number, and entrance fee for that one? I'm also looking for a train to Cambridge from Kings Lynn.",2
"Ok, can I get the postcode, phone number, and entrance fee for that one? I'm also looking for a train to Cambridge from Kings Lynn.",2
Sounds good. Can you tell me about taking the train there?,2
I'd like to arrive no later than 17:15 on Friday.,2
"Yes, please. I need 7 tickets.",2
I am looking for a train arriving by 21:45 and departing from cambridge.,2
Hi I would like to go to kings lynn on sunday please.,2
"Yes, that would work. Can you book 7 tickets for that train? I will need a reference number for that as well, please.",2
"Yes, what can you tell me about the Aylesbray Lodge Guest House?",1
"Yes, please. There will be 7 people for 3 nights starting Thursday. Please provide the reference number.",1
I'd like to find a moderately priced guesthouse to stay at in cambridge.,1
"Maybe, if possible, I would like a guesthouse that is also 4 star in the east in addition to being moderate.",1
Do you have any moderate priced guesthouses that are 4 star anywhere else?,1
I need one that is moderately priced and does it have free parking?,1
Yes please! can i also get admission fees for nearby museums?,2
"Nevermind, Can you help me find some museums in town and how much is the entrance fees?",2
The location and cost of the museum doesn't matter to me. What museum do you recommend?,2
I am on a budget and looking for a cheap place to stay with free wifi.,1
I'm not sure on the area of town. I do know I want a guesthouse. Is there anything for me?,1
book for one and 2 nights starting friday one of your choice,1
book for one and 2 nights starting friday one of your choice,2
Just for one person please.,1
also looking for a train. The train should arrive by 13:45 and should be on the same day as the hotel booking.,1
also looking for a train. The train should arrive by 13:45 and should be on the same day as the hotel booking.,2
I'll be departing from broxbourne.,2
"No but I do need the train ID, departure time, and travel time.",2
That's all the information I need.,2
I'd like a taxie from my home please.,2
I'm heading to the river bar steakhouse and grill. I am so hungry!,2
"The taxi should be at home from home by 10:00, if you can arrange it.",2
Where would I find the Cambridge Belfry hotel?,1
Where would I find the Cambridge Belfry hotel?,2
"I'd like you to book a stay please, for 8 people.",1
We will be coming in on Wednesday for 2 nights.,1
"Yes, I need a train from Cambridge to Leicester that arrives by 12:15 on Friday.",2
"No it doesn't matter, I'd like the booking for the same number of people as my hotel.",2
"I'm looking for place to go, do you have any ideas?",2
I need a place in the centre. I welcome any suggestions you may have.,2
I need a place in the centre. I welcome any suggestions you may have.,0
A church is great can I have the address of the one you recommend?,2
Can you please find a restaurant in the same area as the attraction and in the expensive price range.,0
Do you have any that serve Italian food?,0
Not at this time but can I get their phone number?,0
I am looking for information about a particular restaurant in Cambridge that people are talking about. It is named saint johns chop house.,0
"No, thank you. I just need the area and phone number.",0
I am also looking for places to go in town. The attraction should be in the centre and should be in the type of theatre,2
"Pick one for me. I do meed address and entrance fee information, please.",2
Sounds good. What is the entrance fee?,2
I need a train going tocambridge.,2
I'm coming from broxbourne and I'd like to leave on Wednesday and arrive by 17:00.,2
What time does that train arrive?,2
I am good with that.,2
No thanks. That won't be necessary. But I would like some help finding a guesthouse to stay at.,1
I would like a guesthouse located up north in the moderate price range. I want free parking too. Can I have the phone number and postcode for this guesthouse?,1
I would like a guesthouse located up north in the moderate price range. I want free parking too. Can I have the phone number and postcode for this guesthouse?,2
Yes please that sounds great!,1
"Yes, please also provide their phone number, postcode.",1
I need help finding some places to go in the south part of the city when I visit.,2
What would you recommend? I don't have a preference.,2
what kind of attraction is it?,2
Thank you. I'm also looking to book a room a the autumn house hotel.,1
I need it for Monday. I have 5 guests. I want to stay 4 nights.,1
I need to take a train from cambridge. I would like to leave after 14:30.,2
"I've like to travel to Peterborough on Wednesday, please.",2
"Yes, for eight please.",2
Can you find me a place to eat? I would like an expensive eastern european restaurant. Thanks.,0
"I'm wanting a place that serves expensive food located in the centre of town, I would prefer eastern european food.",0
"No, how about an Italian place instead. Also, can you give me my reference number for my train tickets, please? I never got that.",0
"No, how about an Italian place instead. Also, can you give me my reference number for my train tickets, please? I never got that.",2
"Yes, I would like to have an expensive restaurant please.",0
"Pick one. I need the post code, address, and phone number, please.",0
Excellent. That's all I need.,0
Can you help me find a hotel in the north.,1
"Yes, I would like it to be cheap, but also include free wifi.",1
"Wait, what is the phone number for the Worth House?",1
Do they have free parking? I also need to find a cinema in the west.,1
Do they have free parking? I also need to find a cinema in the west.,2
How about a museum?,2
"No, I'd really like either a cinema or a museum on the west side of town. Could you please look again for me?",2
Not really. What are my options?,2
Can I have the phone number to the museum that's closest to me?,2
"Yes, I would like a taxi to get from the museum to the hotel.",2
"Yes, I would like a taxi to get from the museum to the hotel.",2
I would like to leave the museum by 09:15,2
I would like to leave the museum by 09:15,2
We need to find the address of a theater in the center of town.,2
We need to find the address of a theater in the center of town.,0
can i get the postcode?,2
can i get the postcode?,0
yeah i need to get something to eat,0
"I don't have a preference, but I would like something near The Cambridge Corn Exchange that is cheap.",0
"Wow, sounds like you might be able to help me then. Can you find me a train going into Leicester?",2
I will need to leave from Cambridge.,2
I would like to travel on a Thursday.,2
I just need to arrive by 17:45,2
What is the total travel time and price on that?,2
That sounds perfect. Thanks for all your help.,2
Could you find a moderate priced place to stay for me? I do need free WiFi.,1
"I'd prefer something with 2 stars, and I need free parking as well.",1
Great can I get a reservation at The Ashley hotel for 4 people for 2 nights starting tuesday?,1
I am looking for a place to stay. The hotel should include free wifi and should be in the type of guesthouse,1
"I am unsure about the area, right now. I would like the accommodations to be at least 4 star and have a moderate price.",1
No. I shouldn't need parking.,1
If it is 4 stars in the moderate price range that sounds fine. I need it for 3 nights for 3 people starting Sunday.,1
"Okay, how about on Monday?",1
Can you tell me if there are any restuarants in the west side that have singaporean food?,0
Can you tell me if there are any restuarants in the west side that have singaporean food?,1
"yes, how about thai food?, thanks for checking.",0
"Can I get the price range, postcode, and phone number for them?",0
"Thank you. I need to book a expensive hotel that has free wifi, can you help me?",1
I am looking for a guesthouse in the same area as the restaurant.,1
Is there one that is moderately priced in the same area?,0
Is there one that is moderately priced in the same area?,1
"No, I just need the phone number and postcode, please.",1
Could you help me find a guesthouse on the west side?,1
Does either of those offer free parking?,1
Let's go with Finches. Can you book me a room for 2 people on Saturday? We'd like to stat for 4 nights.,1
Just the reference number thanks,1
I am looking for an Indian restaurant for 5 people tomorrow night,0
I am actually looking for a restaurant called Don Pasquale Pizzeria.,0
Yes please make a reservation for me for 8 people at 14:45 on a Saturday.,0
"Yes, actually. Can you tell me a little about a place called Williams Art and Antiques?",2
"I am looking for a train leaving on Monday that will arrive by 14:00, can you help?",2
"I am looking for a train leaving on Monday that will arrive by 14:00, can you help?",0
I will be departing from cambridge and going to kings lynn.,2
I would like to book for 6 people and I need the reference number.,2
"Yes, I'd like to book a table for my entire party at the Shiraz restaurant at 11:45 that day too.",0
Hello. I would like for a taxi to bring me to the cow pizza kitchen and bar by 04:30 please,2
I'm traveling from leverton house.,2
I am looking for informTIOn in cambridge,2
"I apologize, I should have let you know before, I need a train from bishops stortford to cambridge, on sunday. I need to arrive by 14:45.",2
"I apologize, I should have let you know before, I need a train from bishops stortford to cambridge, on sunday. I need to arrive by 14:45.",0
"Yes, could you make a booking for 3 people?",2
"Yes, I'm looking for an expensive restaurant in the centre.",0
"Any food will do, whatever you recommend. Please book something for Sunday at 18:45 for 3 people.",0
"Any food will do, whatever you recommend. Please book something for Sunday at 18:45 for 3 people.",2
"The first is good. Need it for Sunday, 18:45, 3 people.",0
"The first is good. Need it for Sunday, 18:45, 3 people.",2
Hi. Can you help me find a train?,2
I will be departing from cambridge and going to norwich. As long as it leaves after 13:15 departure time does not matter,2
I'll be leaving on Sunday.,2
I'll be leaving on Sunday.,0
"Yes please, for 1 person",2
Do you know where I may get some yummy chinese food in the centre of town?,0
I'm feeling like Chinese for breakfast. I'd like to get a table for 1 at 10:00 on Sunday please.,0
I'm feeling like Chinese for breakfast. I'd like to get a table for 1 at 10:00 on Sunday please.,2
Can you help me find places to watch cinema?,2
I'm going to be in the centre. Can you tell me a little about the one there?,2
Great I also need a train that will leave after 21:15 and travel on wednesday,2
I don't care as long as it leaves after 21:15.,2
I need to go from bishops stortford to cambridge.,2
"I'll need 7 tickets, actually.",2
Can you recommend any boats that are north of cambridge?,2
Can you recommend any boats that are north of cambridge?,0
Can I have the address and entrance fee?,2
Are there any moderately priced restaurants near the riverboat?,0
"No, but can I get the address today?",0
"Hi, I'm visiting Cambridge and can't wait to try local restaurants. Have you heard anything about a place called golden wok?",0
Not yet. I would appreciate the phone number and address.,0
"I need an expensive room, four stars.",1
I would like to be in the west and I need free parking for my Mercedes please.,1
"Yes please, for 6 people and 2 nights starting Saturday. Could I also get the reference number?",1
"Yes, I've heard good things about the Golden Wok, can you tell me about that?",0
"I won't. I may even ask twice, ha ha.",0
Hi. Can you help me find a restaurant?,0
I'm looking for an Italian restaurant.,0
I want one in the centre.,0
No thank you but I do need the phone number.,0
Great. I am also looking for a train departing Leicester and arriving before 10:15 at my destination.,2
I will be going to Ely.,2
I'd like to go to Cambridge Friday.,2
Can I get the address to the hospital in Cambridge?,0
I am traveling to Cambridge and looking forward to try local restaurants.,0
I'd like an expensive Italian restaurant in the centre.,0
I'd like an expensive Italian restaurant in the centre.,1
"Yes, please find me an expensive one in the center.",0
"Yes, please find me an expensive one in the center.",1
"Yes please. Specifically, their phone number, address, and postcode.",0
"What is their postcode, please?",0
I also need a hotel that has free parking and wifi.,1
"Yes, please. I'm looking for a more upscale, expensive hotel.",0
"Yes, please. I'm looking for a more upscale, expensive hotel.",1
I don't care about the star rating. Can you just make sure it is a hotel. I don't want a B&B.,1
"Yes, could you book a room there for 5 people, 5 nights? We'll arrive on Tuesday.",1
I'm trying to find great saint mary's church,2
"Yes. The type of attraction, adress including area as well.",2
I also need a train to go to Peterborough.,2
I will need to leave Cambridge after 8:00 on Saturday.,2
Yes please book for one person and get me a reference number.,2
I am looking for a train leaving London Kings Cross and arriving by 14:30.,2
I am leaving from london kings cross and I'd like to leave on thursday.,2
I'm going to Cambridge,2
yes please book me something around 10 for 7 people,2
I'd like a taxi please. I'll be wanting it to leave after 15:45,2
I'm coming from the gandhi.,2
I'll be going to adc theatre.,2
"I would like to leave some time after 15:45, please.",2
I need a tax to curry garden.,2
I need to arrive by 19:00.,2
i need to leave from archway house.,2
I would like to leave archway house in time to arrive at curry garden by 19:00.,2
"I'm looking for a certain restaurant, can you help?",0
It is the lan hong house. Can you tell me what area of the city it is located in?,0
What is the price range of the lan hong house?,0
Nevermind. Not at this time. Can you help me find the postcode for the Holiday Inn Cambridge?,1
I also need a taxi,2
I need it to leave the restaurant by 19:30.,2
i want info on kirkwood house,1
Thank you! Do they have internet?,1
"No, thanks. I'm just looking for information at the moment. Could you tell me anything about the tenpin, it's an attraction.",2
"No its not known by another name and i need information on the address, attraction type and area. Also i need to know the type of Hotel Kirkwood is.",1
"No its not known by another name and i need information on the address, attraction type and area. Also i need to know the type of Hotel Kirkwood is.",2
I'm looking for some info on the abbey pool and astroturf pitch,2
Do they have an entrance fee?,2
"Why are you not able to call and find out, you are the help desk?",2
"Yes, please get me information about the home from home hotel",1
"Can you give me their address, price range, and tell me whether they have free internet?",1
"Okay, may I please have their address?",1
"D you know of any restaurants nearby that serve French cuisine? I don't mind paying a little extra for quality food and service, any recommendations are welcome.",0
Are those both in the moderate price range?,0
Are those both in the moderate price range?,1
I require a moderately priced French restaurant in the center of town.,0
I require a moderately priced French restaurant in the center of town.,1
How about one that serves Chinese food? Could I get their phone number and post code as well?,0
How about one that serves Chinese food? Could I get their phone number and post code as well?,1
"Thanks, I'm also looking for a hotel in the same price range. Can you help me find one?",1
I would like it to be a hotel and in the same area as the restaurant. I don't need free parking.,1
"Can I just get the address, and star rating of the hotel?",1
Do you happen to know of any trains leaving for Cambridge this wednesday?,2
Do you happen to know of any trains leaving for Cambridge this wednesday?,0
I will be leaving from norwich and I need to arrive by 8:15.,2
"Sure, can you book that for 2 people and provide my reference number?",2
"Thanks, I'm also looking for a restaurant in the city centre.",0
"I don't really care what kind of food, but I am on a budget so cheap would be great.",0
That sounds great. Can I get a table for 2 there on Wednesday at 18:15?,0
That sounds great. Can I get a table for 2 there on Wednesday at 18:15?,2
How about 17:15?,0
I'm looking for information on a hotel called acorn guest house.,1
"Yes, I would like it for 8 people on Monday.",1
"Yes, I would like it for 8 people on Monday.",2
We will be staying for 5 nights.,1
Thank you. I am also looking for a train from london kings cross to cambridge on Monday.,1
Thank you. I am also looking for a train from london kings cross to cambridge on Monday.,2
anytime after 19:45 going to cambridge and leaving london kings cross. I need tickets for 8 and the reference number,2
"Yes, please.",2
I am looking for a hotel in Cambridge that has free parking and is in the expensive price range.,1
Are any of them guest Houses?,1
I am looking for a guesthouse in the expensive price range with free parking.,1
How about a moderate price range?,1
How about a moderate price range?,0
"What is the full phone number and area code of the Archway house? Also, is there a persian restaurant near the centre of the location?",0
"What is the full phone number and area code of the Archway house? Also, is there a persian restaurant near the centre of the location?",1
Also expensive. May I have the post code and area of the Archway house as well?,0
Also expensive. May I have the post code and area of the Archway house as well?,1
Thank you. Did you locate a persian restaurant?,0
Somewhere that serves international food please.,0
"Yes, it should also be moderate priced.",0
"Yes, it should also be moderate priced.",1
Which one has tables available for 3 people at 15:00 on Friday?,0
Thank you for all of your help!,0
Hi. I would like to visit the Cambridge Artworks. Where is it located and how much does it cost?,2
Could I have the address and phone number?,2
I'm also looking for a hotel I stayed at a few years ago. Warkworth House? Is that still operating?,1
please book it for 6 people and 3 nights starting from Thursday.,1
My car will be in the shop so I will need to take a train to work in cambridge that day. I need to arrive by 08:00,2
I'll be leaving on Tuesday.,2
I'll be leaving on Tuesday.,0
I will leave from Bishops Stortford.,2
How much is the price for that?,2
Ok. Can you also recommend an expensive european restaurant?,0
you can pick for me.,0
Can I have address please thank you,0
That sounds perfect. Can you book a table for me for the same day my train arrives? 7 people at 17:30.,0
Could you give me information about a restaurant called panahar?,0
Could you book a table for me there on Friday?,0
There will be 4 of us and we would like to eat at 11:00.,0
"Sure, how about 10:00?",0
I need to travel to Bishops Stortford on Thursday for work - can you help me find a train?,2
I need to travel to Bishops Stortford on Thursday for work - can you help me find a train?,0
"Yes, we would like to depart Cambridge on thursday and arrive by 16:00. Thank you for your help.",2
"Yes, we would like to depart Cambridge on thursday and arrive by 16:00. Thank you for your help.",0
I would like to arrive by 16:00.,2
Yes I need it booked for 8 people.,2
"Yes, I'd like a moderately priced Indian place to eat. Preferably on the Eastside.",0
"Yes, please try the Rajmahal. I need a table for a party of 8 at 13:00 on Thursday.",0
"Yes, please try the Rajmahal. I need a table for a party of 8 at 13:00 on Thursday.",2
Could you give me the reference number for the restaurant reservation?,0
I'm looking for a museum to go to.,2
"Yes, could you please make sure it is located in the downtown area. And could you let me know the entrance fee and phone number?",2
"Any area is fine, actually. Just pick your favorite!",2
Do you know a hotel by the name of Rosa's Bed and Breakfast?,1
Do you know a hotel by the name of Rosa's Bed and Breakfast?,2
Yes. I would like to book the hotel for 4 people starting on Tuesday for 4 nights.,1
I'm looking for Crossover food in the centre.,0
"A moderate priced crossover located in the centre, nothing?",0
How about modern european food?,0
"Sounds wonderful! May I have their postcode, address and phone number please?",0
"Yes, actually, I need to find a train schedule. I'll be traveling from Cambridge to London Liverpool Street.",2
"Yes, I'm traveling on Saturday, and I will need to arrive by 14:30.",2
I need information on a hotel that includes free parking please.,1
"I also need free wifi, and it needs to be a hotel, not a guesthouse or anything like that.",1
"Yes please, for 5 people and 4 nights on Friday.",1
"Thank you for your help. Can I find a place to eat, I'm looking for a place serving christmas food in the centre.",0
"No, I really wanted Christmas food in town centre, can you look for an expensive one?",0
How about an Indian restaurant in the centre? In the expensive range.,0
"Yes, please give me their phone number.",0
I also need a taxi from the restaurant to the hotel. I'd like to leave the restaurant by 5:00.,2
I also need a taxi from the restaurant to the hotel. I'd like to leave the restaurant by 5:00.,1
"Hello, could you help me with finding a restaurant called The Lucky Star?",0
Yes. Please reserve table for five at Monday on 11:15 and get me the reference number,0
I also need a moderate priced hotel with free parking to stay at.,1
"No particular town, but a guesthouse with free wifi is preferable.",1
I do not.,1
And can I ask what star rating that has before I book? I actually realized I might care.,1
I'd like a train to Cambridge that arrives by 19:30.,2
I'm departing from Ely.,2
"Yes, Wednesday. I also need the departure time and price, please.",2
Hello! I'm planning my trip to Cambridge and I am looking for places to go on the north side of town.,2
Hello! I'm planning my trip to Cambridge and I am looking for places to go on the north side of town.,2
Boating sounds nice. Can I get the address and entrance fee please?,2
I also need to find a train to go from Bishops Stortford to Cambridge.,2
I would like to travel on wednesday and arrive by 11:30,2
That is good please book it for me.,2
"Just one please, and may I also get that price?",2
"Please, I am looking for some entertainment when I visit next week. Do you have any suggestions?",2
"Pick what one you like best, and please give me the area and phone number as well as address.",2
I also need help finding a 4 star hotel to stay in while I am there.,1
"I have no preference in regards to area, it just needs to be 4 star, a guesthouse, and include free wifi",1
"I have no preference in regards to area, it just needs to be 4 star, a guesthouse, and include free wifi",2
"Well,I want it cheaper than AIRBNB,so how about $100 a night?",1
"Any will do just fine, thank you.",1
Not at this time. Can I have the postcode?,1
Not at this time. Can I have the postcode?,2
I need a taxi to commute between the two locations. Can you help?,2
I need to leave Nusha by 11:30 please.,2
"Yes, hopefully you can help with some information on a particular hotel?",1
It is called home from home. I was wondering what type of hotel it is and the star of the hotel.,1
"Thanks, that is all I need on the hotel but can I book a train from cambridge to stevenage, I need to arrive by 20:45 and leave at 05:00.",2
I would like to leave on Thursday.,2
I just need the departure time and price please,2
Can you book this for me that will work just fine.,2
I am looking for information in Cambridge,2
I need a train that leaves on Monday heading to Cambridge.,2
I need a train that leaves on Monday heading to Cambridge.,1
"Yes, I'm heading in from Stevenage. I really want to arrive in Cambridge by 19:00.",2
I actually need a place to stay with free wifi with a 4 star rating.,1
Area does not matter.,1
"How about a 4 star, moderately priced hotel?",1
"Yes, a guesthouse is fine.",1
yes i will need a parking and i want to book for four nights for seven people starting from the day of our arrival.,1
I don't have a preference as to the area.,1
"Awesome, thanks for the help.",1
"Hi, I am looking for attractions in the centre.",2
That sounds amazing! Thank you. Could I have the address and phone number of the church please?,2
What is the attraction type for All Saints?,2
"Yes, I am looking for a specific restaurant named midsummer house restaurant. What can you tell me about this place?",0
Perfect. Will you book a table for 1 on Wednesday at 11:15 and send me the reference number please?,0
How about 10:15?,0
I am hoping to find some entertainment while I am in the east area of town.,2
"Let's try the Funky Fun House. Do you have the entrance fee, address and postcode, please?",2
Ok thank you. I am also looking for information on La Tasca restaurant. Could you help me with that?,0
Can I get their post code?,0
Can I get their post code?,2
I need a taxi leaving after 21:00.,2
I am leaving from scudamores punting co and want to go to the slug and lettuce.,2
"I want to take a train to cambridge on monday, what's available?",2
"I want to take a train to cambridge on monday, what's available?",0
"I am going to Cambridge, from Birmimgnham New Street.",2
I'd like to leave after 17:00. When would I arrive?,2
Yes. Please book that train.,2
Great! Is there a restaurant called la raza near by?,0
"Great. I would like to book a table for 5 people at 21:00 on the same day, please.",0
How about 20:00?,0
"On my trip to Cambridge, I am looking for a hotel named Arbury Lodge Guesthouse, Can you find that for me please.",1
"On my trip to Cambridge, I am looking for a hotel named Arbury Lodge Guesthouse, Can you find that for me please.",2
Great can you please book me for that hotel for 2 people 3 nights starting this Saturday.,1
Great can you please book me for that hotel for 2 people 3 nights starting this Saturday.,2
I am also looking for a train departing from Kings Lynn after 11:30.,2
"Yes, on Saturday and arriving in Cambridge. Please book three adult tickets.",1
"Yes, on Saturday and arriving in Cambridge. Please book three adult tickets.",2
I'm hoping to catch a train to London Kings Cross.,2
I need to leave after 19:00.,2
I will be departing from cambridge.,2
Anytime after that would be great. I also need tickets for 5 people.,2
I'll be leaving on a Sunday.,2
Yes 5 please. Do you know the Williams Art & Antiques?,2
Yes 5 please. Do you know the Williams Art & Antiques?,2
"Yes, what type of attraction is it?",2
I want to eat some african food in the centre. What do you have for me?,0
Could I get the address please?,0
also looking for a particular hotel. Its name is called leverton house,1
Yes I would. I need to book a room for Saturday for 4 nights.,1
4 people. I'll need a reference number too.,1
I'm looking for a 0 star hotel that is expensive.,1
What star ratings do you have for hotels in the centre?,1
What star ratings do you have for hotels in the centre?,2
Can you check for one in the moderate price range.,1
Yes please do a search for ones in the centre area.,1
Yes please do a search for ones in the centre area.,2
"Yes, I need a reservation for 3 people, 3 nights starting Wednesday and I also need the reference number.",1
Thank you. I would also like entertainment options in the same area as you booked the hotel.,2
Yes what about a museum.,2
"On second thought, I'd really like an entertainment venue.",2
Can you look for a architecture?,2
Please send me their address,2
I would like to know if you have any information on a place called Tang Chinese?,0
Are you able to book a reservation or do I have to call them?,0
Saturday at 15:15. The reservation is for 1 person. I also need a train departing from Cambridge that will arrive at my destination by 16:30.,0
Saturday at 15:15. The reservation is for 1 person. I also need a train departing from Cambridge that will arrive at my destination by 16:30.,2
My destination is broxbourne on sunday.,2
"Hello, I'm looking for a train to Birmingham New Street that will leave on Wednesday.",2
"Hello, I'm looking for a train to Birmingham New Street that will leave on Wednesday.",0
"Departing time, no, but I'd like to arrive at birmingham new street by 16:45",2
