Utterance,Intent
Is that train leaving from Cambridge?,4
Do you mean 16:01? If so I would like to book that one for 6 people and I need the reference number.,4
I'm looking for a hotel called the Arbury Lodge Guesthouse. Do you have a listing for this?,1
"Are you sure, but if not, book the Super 5 for 8 people for 5 nights starting Monday. I will need the reference number.",0
"I'm looking for a British restaurant, in the expensive price range.",3
"Graffiti sounds good. I'll need a table for four on Thursday at 16:45, please.",2
Find me a moderately priced place to eat in the South,3
Find me a moderately priced place to eat in the South,4
Restaurant Alimentum sounds interesting. Can you get me a table for 3 at 14:45 on Friday?,2
Restaurant Alimentum sounds interesting. Can you get me a table for 3 at 14:45 on Friday?,4
Great I also need a train on the same day as the restaurant booking heading to cambridge.,4
I'll be leaving from leicester. I want to arrive at cambridge by 11:15.,4
"Can you give me the price, train ID and travel time please?",4
"I'm looking for a cheap place to dine, preferably in the centre of town.",3
"Yes, what restaurants are there?",3
Charlie Chan sounds good. Thank you!,3
I'd like to book 4 people at 14:15 on Friday.,2
I'm looking for a vietnamese restaurant in the west area.,3
Is this in the cheap price range?,3
Would it be possible to make a reservation?,3
I need it for 1 for 18:15 on Monday.,2
Can I also get some information on Kirkwood House hotel?,1
Sounds perfect. What is the phone number please?,1
I am looking for a restaurant named kymmoy.,3
Yes. I need a table booked for 7 on saturday.,2
20:00 on Saturday.,2
What kind of attractions are available in the centre?,4
Can I get the info to a cinema please?,4
That sounds good. What is the entrance fee?,4
"May I have the phone number for the vue cinema, please?",4
"Hi, I'd like to find out about the Limehouse hotel.",1
i am looking for a train from london kings cross and leaves on wednesday,4
I am looking to book a train that arrives by 13:30. Are there any that fit that description?,4
"No, I just need to know how much it is.",4
Sounds great. Is TR2417 the train ID?,4
I will also need the departure time please.,4
I need to book a taxi from clowns cafe.,4
"Clowns cafe, please.",4
I will be leaving from there and going to primavera,4
I would like to leave around 22:00 please and thank you.,4
I need a resturant that serves British food.,3
"I am open to any price range, but am looking for somewhere located in the centre area of town.",3
"I am open to any price range, but am looking for somewhere located in the centre area of town.",1
Yes can I please get more info.,3
May I also get the address for the restaurant?,3
Yes I need to find a place to stay in the centre area. It should be a 4 star guesthouse with free wifi.,3
Yes I need to find a place to stay in the centre area. It should be a 4 star guesthouse with free wifi.,1
"You're the help desk, please tell me what you find.",1
I don't need a reservation but would like the address please.,1
i also need a taxi to commute between the two places,4
It's just for me and I want the taxi to leave the hotel by 08:00.,4
That's it. Thank you so much for your help.,4
Hi I'm looking to find a restaurant named Sitar Tandoori.,3
Are there any tables available to be reserved for 4 people on Saturday night?,2
yes reserve for 4 people at 19:30 on saturday.,2
yes reserve for 4 people at 19:30 on saturday.,4
Im also looking for a museum to visit.,4
"Yes, can you recommend a place?",4
"Doesn't matter to me, it's my folks who want to go. What do you recommend?",4
"Yes, the phone number and entrance fee please.",4
"Yes, can you arrange a taxi to take us from the gallery to the restaurant in time for our reservation?",4
"Yes, can you arrange a taxi to take us from the gallery to the restaurant in time for our reservation?",2
I am looking for somewhere yummy to eat! I would like to stay around the centre and have some italian if at all possible,3
I am looking for somewhere yummy to eat! I would like to stay around the centre and have some italian if at all possible,4
Something expensive. I'd like to treat my family to some great food.,3
Great! Can you book me a table for 8 at 12:30 on Sunday?,2
I am also looking for places to go. I need a attraction in the same area as the restaurant.,4
Anything in the centre area what do you recommend?,2
Anything in the centre area what do you recommend?,4
"That sounds good, thank you for your help!",4
I'm looking for a hotel with free parking in the north.,1
I would like a moderately priced hotel. Preferably a guesthouse.,1
That doesn't matter. Can you book a room for 4 people at your favorite? We'll arrive on Friday and stay for 3 nights.,0
The four of us want to take a train on Sunday from Cambridge to bishops stortford. Sometime after 15:00.,0
The four of us want to take a train on Sunday from Cambridge to bishops stortford. Sometime after 15:00.,4
"Yeah, book the one that leaves at 15:29 please, for 4 people. Give me the reference number too.",4
"I need a restaurant in the west that serves Hungarian cuisine,",3
"I need a restaurant in the west that serves Hungarian cuisine,",1
I guess let's check and see if there are any Hungarian restaurants in other parts of town. What is in the south?,3
Are there any restaurants in the west and in the expensive price range that serves indian food?,3
Are there any restaurants in the west and in the expensive price range that serves indian food?,1
"Is this location in the west? If so yes, i would like to book a table.",3
"Is this location in the west? If so yes, i would like to book a table.",1
Please book a table for 7 people at 11:45 on monday.,2
Let's try 10:45.,2
Let's try 10:45.,4
"Yes, I am also looking for a three star hotel located in the same area as the restaurant.",1
"Great, can I please have the address and phone number?",1
"Actually, yes. I need a taxi to transport between the two places. I want to make sure it arrives at Cocum at the booked time. Any ideas?",4
Can I get the contact number and car type please.,4
I'm looking for architecture attractions in the centre.,4
Not necessarily. Which is your favorite?,4
"Ok, can I get the postcode, phone number, and entrance fee for that one? I'm also looking for a train to Cambridge from Kings Lynn.",4
"Ok, can I get the postcode, phone number, and entrance fee for that one? I'm also looking for a train to Cambridge from Kings Lynn.",4
Sounds good. Can you tell me about taking the train there?,4
I'd like to arrive no later than 17:15 on Friday.,4
"Yes, please. I need 7 tickets.",4
I am looking for a train arriving by 21:45 and departing from cambridge.,4
Hi I would like to go to kings lynn on sunday please.,4
"Yes, that would work. Can you book 7 tickets for that train? I will need a reference number for that as well, please.",4
"Yes, what can you tell me about the Aylesbray Lodge Guest House?",1
"Yes, please. There will be 7 people for 3 nights starting Thursday. Please provide the reference number.",0
I'd like to find a moderately priced guesthouse to stay at in cambridge.,1
"Maybe, if possible, I would like a guesthouse that is also 4 star in the east in addition to being moderate.",1
Do you have any moderate priced guesthouses that are 4 star anywhere else?,1
I need one that is moderately priced and does it have free parking?,1
Yes please! can i also get admission fees for nearby museums?,4
"Nevermind, Can you help me find some museums in town and how much is the entrance fees?",4
The location and cost of the museum doesn't matter to me. What museum do you recommend?,4
I am on a budget and looking for a cheap place to stay with free wifi.,1
I'm not sure on the area of town. I do know I want a guesthouse. Is there anything for me?,1
book for one and 2 nights starting friday one of your choice,0
book for one and 2 nights starting friday one of your choice,4
Just for one person please.,0
also looking for a train. The train should arrive by 13:45 and should be on the same day as the hotel booking.,0
also looking for a train. The train should arrive by 13:45 and should be on the same day as the hotel booking.,4
I'll be departing from broxbourne.,4
"No but I do need the train ID, departure time, and travel time.",4
That's all the information I need.,4
I'd like a taxie from my home please.,4
I'm heading to the river bar steakhouse and grill. I am so hungry!,4
"The taxi should be at home from home by 10:00, if you can arrange it.",4
Where would I find the Cambridge Belfry hotel?,1
Where would I find the Cambridge Belfry hotel?,4
"I'd like you to book a stay please, for 8 people.",0
We will be coming in on Wednesday for 2 nights.,0
"Yes, I need a train from Cambridge to Leicester that arrives by 12:15 on Friday.",4
"No it doesn't matter, I'd like the booking for the same number of people as my hotel.",4
"I'm looking for place to go, do you have any ideas?",4
I need a place in the centre. I welcome any suggestions you may have.,4
I need a place in the centre. I welcome any suggestions you may have.,3
A church is great can I have the address of the one you recommend?,4
Can you please find a restaurant in the same area as the attraction and in the expensive price range.,3
Do you have any that serve Italian food?,3
Not at this time but can I get their phone number?,3
I am looking for information about a particular restaurant in Cambridge that people are talking about. It is named saint johns chop house.,3
"No, thank you. I just need the area and phone number.",3
I am also looking for places to go in town. The attraction should be in the centre and should be in the type of theatre,4
"Pick one for me. I do meed address and entrance fee information, please.",4
Sounds good. What is the entrance fee?,4
I need a train going tocambridge.,4
I'm coming from broxbourne and I'd like to leave on Wednesday and arrive by 17:00.,4
What time does that train arrive?,4
I am good with that.,4
No thanks. That won't be necessary. But I would like some help finding a guesthouse to stay at.,1
I would like a guesthouse located up north in the moderate price range. I want free parking too. Can I have the phone number and postcode for this guesthouse?,1
I would like a guesthouse located up north in the moderate price range. I want free parking too. Can I have the phone number and postcode for this guesthouse?,4
Yes please that sounds great!,1
"Yes, please also provide their phone number, postcode.",1
I need help finding some places to go in the south part of the city when I visit.,4
What would you recommend? I don't have a preference.,4
what kind of attraction is it?,4
Thank you. I'm also looking to book a room a the autumn house hotel.,1
I need it for Monday. I have 5 guests. I want to stay 4 nights.,0
I need to take a train from cambridge. I would like to leave after 14:30.,4
"I've like to travel to Peterborough on Wednesday, please.",4
"Yes, for eight please.",4
Can you find me a place to eat? I would like an expensive eastern european restaurant. Thanks.,3
"I'm wanting a place that serves expensive food located in the centre of town, I would prefer eastern european food.",3
"No, how about an Italian place instead. Also, can you give me my reference number for my train tickets, please? I never got that.",3
"No, how about an Italian place instead. Also, can you give me my reference number for my train tickets, please? I never got that.",4
"Yes, I would like to have an expensive restaurant please.",3
"Pick one. I need the post code, address, and phone number, please.",3
Excellent. That's all I need.,3
Can you help me find a hotel in the north.,1
"Yes, I would like it to be cheap, but also include free wifi.",1
"Wait, what is the phone number for the Worth House?",1
Do they have free parking? I also need to find a cinema in the west.,1
Do they have free parking? I also need to find a cinema in the west.,4
How about a museum?,4
"No, I'd really like either a cinema or a museum on the west side of town. Could you please look again for me?",4
Not really. What are my options?,4
Can I have the phone number to the museum that's closest to me?,4
"Yes, I would like a taxi to get from the museum to the hotel.",4
"Yes, I would like a taxi to get from the museum to the hotel.",4
I would like to leave the museum by 09:15,4
I would like to leave the museum by 09:15,4
We need to find the address of a theater in the center of town.,4
We need to find the address of a theater in the center of town.,3
can i get the postcode?,4
can i get the postcode?,3
yeah i need to get something to eat,3
"I don't have a preference, but I would like something near The Cambridge Corn Exchange that is cheap.",3
"Wow, sounds like you might be able to help me then. Can you find me a train going into Leicester?",4
I will need to leave from Cambridge.,4
I would like to travel on a Thursday.,4
I just need to arrive by 17:45,4
What is the total travel time and price on that?,4
That sounds perfect. Thanks for all your help.,4
Could you find a moderate priced place to stay for me? I do need free WiFi.,1
"I'd prefer something with 2 stars, and I need free parking as well.",1
Great can I get a reservation at The Ashley hotel for 4 people for 2 nights starting tuesday?,0
I am looking for a place to stay. The hotel should include free wifi and should be in the type of guesthouse,1
"I am unsure about the area, right now. I would like the accommodations to be at least 4 star and have a moderate price.",1
No. I shouldn't need parking.,1
If it is 4 stars in the moderate price range that sounds fine. I need it for 3 nights for 3 people starting Sunday.,0
"Okay, how about on Monday?",0
Can you tell me if there are any restuarants in the west side that have singaporean food?,3
Can you tell me if there are any restuarants in the west side that have singaporean food?,1
"yes, how about thai food?, thanks for checking.",3
"Can I get the price range, postcode, and phone number for them?",3
"Thank you. I need to book a expensive hotel that has free wifi, can you help me?",1
I am looking for a guesthouse in the same area as the restaurant.,1
Is there one that is moderately priced in the same area?,3
Is there one that is moderately priced in the same area?,1
"No, I just need the phone number and postcode, please.",1
Could you help me find a guesthouse on the west side?,1
Does either of those offer free parking?,1
Let's go with Finches. Can you book me a room for 2 people on Saturday? We'd like to stat for 4 nights.,0
Just the reference number thanks,0
I am looking for an Indian restaurant for 5 people tomorrow night,2
I am actually looking for a restaurant called Don Pasquale Pizzeria.,2
Yes please make a reservation for me for 8 people at 14:45 on a Saturday.,2
"Yes, actually. Can you tell me a little about a place called Williams Art and Antiques?",4
"I am looking for a train leaving on Monday that will arrive by 14:00, can you help?",4
"I am looking for a train leaving on Monday that will arrive by 14:00, can you help?",3
I will be departing from cambridge and going to kings lynn.,4
I would like to book for 6 people and I need the reference number.,4
"Yes, I'd like to book a table for my entire party at the Shiraz restaurant at 11:45 that day too.",2
Hello. I would like for a taxi to bring me to the cow pizza kitchen and bar by 04:30 please,4
I'm traveling from leverton house.,4
I am looking for informTIOn in cambridge,4
"I apologize, I should have let you know before, I need a train from bishops stortford to cambridge, on sunday. I need to arrive by 14:45.",4
"I apologize, I should have let you know before, I need a train from bishops stortford to cambridge, on sunday. I need to arrive by 14:45.",3
"Yes, could you make a booking for 3 people?",4
"Yes, I'm looking for an expensive restaurant in the centre.",3
"Any food will do, whatever you recommend. Please book something for Sunday at 18:45 for 3 people.",3
"Any food will do, whatever you recommend. Please book something for Sunday at 18:45 for 3 people.",4
"The first is good. Need it for Sunday, 18:45, 3 people.",2
"The first is good. Need it for Sunday, 18:45, 3 people.",4
Hi. Can you help me find a train?,4
I will be departing from cambridge and going to norwich. As long as it leaves after 13:15 departure time does not matter,4
I'll be leaving on Sunday.,4
I'll be leaving on Sunday.,3
"Yes please, for 1 person",4
Do you know where I may get some yummy chinese food in the centre of town?,3
I'm feeling like Chinese for breakfast. I'd like to get a table for 1 at 10:00 on Sunday please.,2
I'm feeling like Chinese for breakfast. I'd like to get a table for 1 at 10:00 on Sunday please.,4
Can you help me find places to watch cinema?,4
I'm going to be in the centre. Can you tell me a little about the one there?,4
Great I also need a train that will leave after 21:15 and travel on wednesday,4
I don't care as long as it leaves after 21:15.,4
I need to go from bishops stortford to cambridge.,4
"I'll need 7 tickets, actually.",4
Can you recommend any boats that are north of cambridge?,4
Can you recommend any boats that are north of cambridge?,3
Can I have the address and entrance fee?,4
Are there any moderately priced restaurants near the riverboat?,3
"No, but can I get the address today?",3
"Hi, I'm visiting Cambridge and can't wait to try local restaurants. Have you heard anything about a place called golden wok?",3
Not yet. I would appreciate the phone number and address.,3
"I need an expensive room, four stars.",1
I would like to be in the west and I need free parking for my Mercedes please.,1
"Yes please, for 6 people and 2 nights starting Saturday. Could I also get the reference number?",0
"Yes, I've heard good things about the Golden Wok, can you tell me about that?",3
"I won't. I may even ask twice, ha ha.",3
Hi. Can you help me find a restaurant?,3
I'm looking for an Italian restaurant.,3
I want one in the centre.,3
No thank you but I do need the phone number.,3
Great. I am also looking for a train departing Leicester and arriving before 10:15 at my destination.,4
I will be going to Ely.,4
I'd like to go to Cambridge Friday.,4
Can I get the address to the hospital in Cambridge?,3
I am traveling to Cambridge and looking forward to try local restaurants.,3
I'd like an expensive Italian restaurant in the centre.,3
I'd like an expensive Italian restaurant in the centre.,1
"Yes, please find me an expensive one in the center.",3
"Yes, please find me an expensive one in the center.",1
"Yes please. Specifically, their phone number, address, and postcode.",3
"What is their postcode, please?",3
I also need a hotel that has free parking and wifi.,1
"Yes, please. I'm looking for a more upscale, expensive hotel.",3
"Yes, please. I'm looking for a more upscale, expensive hotel.",1
I don't care about the star rating. Can you just make sure it is a hotel. I don't want a B&B.,1
"Yes, could you book a room there for 5 people, 5 nights? We'll arrive on Tuesday.",0
I'm trying to find great saint mary's church,4
"Yes. The type of attraction, adress including area as well.",4
I also need a train to go to Peterborough.,4
I will need to leave Cambridge after 8:00 on Saturday.,4
Yes please book for one person and get me a reference number.,4
I am looking for a train leaving London Kings Cross and arriving by 14:30.,4
I am leaving from london kings cross and I'd like to leave on thursday.,4
I'm going to Cambridge,4
yes please book me something around 10 for 7 people,4
I'd like a taxi please. I'll be wanting it to leave after 15:45,4
I'm coming from the gandhi.,4
I'll be going to adc theatre.,4
"I would like to leave some time after 15:45, please.",4
I need a tax to curry garden.,4
I need to arrive by 19:00.,4
i need to leave from archway house.,4
I would like to leave archway house in time to arrive at curry garden by 19:00.,4
"I'm looking for a certain restaurant, can you help?",3
It is the lan hong house. Can you tell me what area of the city it is located in?,3
What is the price range of the lan hong house?,3
Nevermind. Not at this time. Can you help me find the postcode for the Holiday Inn Cambridge?,1
I also need a taxi,4
I need it to leave the restaurant by 19:30.,4
i want info on kirkwood house,1
Thank you! Do they have internet?,1
"No, thanks. I'm just looking for information at the moment. Could you tell me anything about the tenpin, it's an attraction.",4
"No its not known by another name and i need information on the address, attraction type and area. Also i need to know the type of Hotel Kirkwood is.",1
"No its not known by another name and i need information on the address, attraction type and area. Also i need to know the type of Hotel Kirkwood is.",4
I'm looking for some info on the abbey pool and astroturf pitch,4
Do they have an entrance fee?,4
"Why are you not able to call and find out, you are the help desk?",4
"Yes, please get me information about the home from home hotel",1
"Can you give me their address, price range, and tell me whether they have free internet?",1
"Okay, may I please have their address?",1
"D you know of any restaurants nearby that serve French cuisine? I don't mind paying a little extra for quality food and service, any recommendations are welcome.",3
Are those both in the moderate price range?,3
Are those both in the moderate price range?,1
I require a moderately priced French restaurant in the center of town.,3
I require a moderately priced French restaurant in the center of town.,1
How about one that serves Chinese food? Could I get their phone number and post code as well?,3
How about one that serves Chinese food? Could I get their phone number and post code as well?,1
"Thanks, I'm also looking for a hotel in the same price range. Can you help me find one?",1
I would like it to be a hotel and in the same area as the restaurant. I don't need free parking.,1
"Can I just get the address, and star rating of the hotel?",1
Do you happen to know of any trains leaving for Cambridge this wednesday?,4
Do you happen to know of any trains leaving for Cambridge this wednesday?,3
I will be leaving from norwich and I need to arrive by 8:15.,4
"Sure, can you book that for 2 people and provide my reference number?",4
"Thanks, I'm also looking for a restaurant in the city centre.",3
"I don't really care what kind of food, but I am on a budget so cheap would be great.",3
That sounds great. Can I get a table for 2 there on Wednesday at 18:15?,2
That sounds great. Can I get a table for 2 there on Wednesday at 18:15?,4
How about 17:15?,2
I'm looking for information on a hotel called acorn guest house.,1
"Yes, I would like it for 8 people on Monday.",0
"Yes, I would like it for 8 people on Monday.",4
We will be staying for 5 nights.,0
Thank you. I am also looking for a train from london kings cross to cambridge on Monday.,0
Thank you. I am also looking for a train from london kings cross to cambridge on Monday.,4
anytime after 19:45 going to cambridge and leaving london kings cross. I need tickets for 8 and the reference number,4
"Yes, please.",4
I am looking for a hotel in Cambridge that has free parking and is in the expensive price range.,1
Are any of them guest Houses?,1
I am looking for a guesthouse in the expensive price range with free parking.,1
How about a moderate price range?,1
How about a moderate price range?,3
"What is the full phone number and area code of the Archway house? Also, is there a persian restaurant near the centre of the location?",3
"What is the full phone number and area code of the Archway house? Also, is there a persian restaurant near the centre of the location?",1
Also expensive. May I have the post code and area of the Archway house as well?,3
Also expensive. May I have the post code and area of the Archway house as well?,1
Thank you. Did you locate a persian restaurant?,3
Somewhere that serves international food please.,3
"Yes, it should also be moderate priced.",3
"Yes, it should also be moderate priced.",1
Which one has tables available for 3 people at 15:00 on Friday?,2
Thank you for all of your help!,2
Hi. I would like to visit the Cambridge Artworks. Where is it located and how much does it cost?,4
Could I have the address and phone number?,4
I'm also looking for a hotel I stayed at a few years ago. Warkworth House? Is that still operating?,1
please book it for 6 people and 3 nights starting from Thursday.,0
My car will be in the shop so I will need to take a train to work in cambridge that day. I need to arrive by 08:00,4
I'll be leaving on Tuesday.,4
I'll be leaving on Tuesday.,3
I will leave from Bishops Stortford.,4
How much is the price for that?,4
Ok. Can you also recommend an expensive european restaurant?,3
you can pick for me.,3
Can I have address please thank you,3
That sounds perfect. Can you book a table for me for the same day my train arrives? 7 people at 17:30.,2
Could you give me information about a restaurant called panahar?,3
Could you book a table for me there on Friday?,2
There will be 4 of us and we would like to eat at 11:00.,2
"Sure, how about 10:00?",2
I need to travel to Bishops Stortford on Thursday for work - can you help me find a train?,4
I need to travel to Bishops Stortford on Thursday for work - can you help me find a train?,3
"Yes, we would like to depart Cambridge on thursday and arrive by 16:00. Thank you for your help.",4
"Yes, we would like to depart Cambridge on thursday and arrive by 16:00. Thank you for your help.",3
I would like to arrive by 16:00.,4
Yes I need it booked for 8 people.,4
"Yes, I'd like a moderately priced Indian place to eat. Preferably on the Eastside.",3
"Yes, please try the Rajmahal. I need a table for a party of 8 at 13:00 on Thursday.",2
"Yes, please try the Rajmahal. I need a table for a party of 8 at 13:00 on Thursday.",4
Could you give me the reference number for the restaurant reservation?,2
I'm looking for a museum to go to.,4
"Yes, could you please make sure it is located in the downtown area. And could you let me know the entrance fee and phone number?",4
"Any area is fine, actually. Just pick your favorite!",4
Do you know a hotel by the name of Rosa's Bed and Breakfast?,1
Do you know a hotel by the name of Rosa's Bed and Breakfast?,4
Yes. I would like to book the hotel for 4 people starting on Tuesday for 4 nights.,0
I'm looking for Crossover food in the centre.,3
"A moderate priced crossover located in the centre, nothing?",3
How about modern european food?,3
"Sounds wonderful! May I have their postcode, address and phone number please?",3
"Yes, actually, I need to find a train schedule. I'll be traveling from Cambridge to London Liverpool Street.",4
"Yes, I'm traveling on Saturday, and I will need to arrive by 14:30.",4
I need information on a hotel that includes free parking please.,1
"I also need free wifi, and it needs to be a hotel, not a guesthouse or anything like that.",1
"Yes please, for 5 people and 4 nights on Friday.",0
"Thank you for your help. Can I find a place to eat, I'm looking for a place serving christmas food in the centre.",3
"No, I really wanted Christmas food in town centre, can you look for an expensive one?",3
How about an Indian restaurant in the centre? In the expensive range.,3
"Yes, please give me their phone number.",3
I also need a taxi from the restaurant to the hotel. I'd like to leave the restaurant by 5:00.,4
I also need a taxi from the restaurant to the hotel. I'd like to leave the restaurant by 5:00.,0
"Hello, could you help me with finding a restaurant called The Lucky Star?",3
Yes. Please reserve table for five at Monday on 11:15 and get me the reference number,2
I also need a moderate priced hotel with free parking to stay at.,1
"No particular town, but a guesthouse with free wifi is preferable.",1
I do not.,1
And can I ask what star rating that has before I book? I actually realized I might care.,1
I'd like a train to Cambridge that arrives by 19:30.,4
I'm departing from Ely.,4
"Yes, Wednesday. I also need the departure time and price, please.",4
Hello! I'm planning my trip to Cambridge and I am looking for places to go on the north side of town.,4
Hello! I'm planning my trip to Cambridge and I am looking for places to go on the north side of town.,4
Boating sounds nice. Can I get the address and entrance fee please?,4
I also need to find a train to go from Bishops Stortford to Cambridge.,4
I would like to travel on wednesday and arrive by 11:30,4
That is good please book it for me.,4
"Just one please, and may I also get that price?",4
"Please, I am looking for some entertainment when I visit next week. Do you have any suggestions?",4
"Pick what one you like best, and please give me the area and phone number as well as address.",4
I also need help finding a 4 star hotel to stay in while I am there.,1
"I have no preference in regards to area, it just needs to be 4 star, a guesthouse, and include free wifi",1
"I have no preference in regards to area, it just needs to be 4 star, a guesthouse, and include free wifi",4
"Well,I want it cheaper than AIRBNB,so how about $100 a night?",1
"Any will do just fine, thank you.",1
Not at this time. Can I have the postcode?,1
Not at this time. Can I have the postcode?,4
I need a taxi to commute between the two locations. Can you help?,4
I need to leave Nusha by 11:30 please.,4
"Yes, hopefully you can help with some information on a particular hotel?",1
It is called home from home. I was wondering what type of hotel it is and the star of the hotel.,1
"Thanks, that is all I need on the hotel but can I book a train from cambridge to stevenage, I need to arrive by 20:45 and leave at 05:00.",4
I would like to leave on Thursday.,4
I just need the departure time and price please,4
Can you book this for me that will work just fine.,4
I am looking for information in Cambridge,4
I need a train that leaves on Monday heading to Cambridge.,4
I need a train that leaves on Monday heading to Cambridge.,1
"Yes, I'm heading in from Stevenage. I really want to arrive in Cambridge by 19:00.",4
I actually need a place to stay with free wifi with a 4 star rating.,1
Area does not matter.,1
"How about a 4 star, moderately priced hotel?",1
"Yes, a guesthouse is fine.",1
yes i will need a parking and i want to book for four nights for seven people starting from the day of our arrival.,1
I don't have a preference as to the area.,0
"Awesome, thanks for the help.",0
"Hi, I am looking for attractions in the centre.",4
That sounds amazing! Thank you. Could I have the address and phone number of the church please?,4
What is the attraction type for All Saints?,4
"Yes, I am looking for a specific restaurant named midsummer house restaurant. What can you tell me about this place?",3
Perfect. Will you book a table for 1 on Wednesday at 11:15 and send me the reference number please?,2
How about 10:15?,2
I am hoping to find some entertainment while I am in the east area of town.,4
"Let's try the Funky Fun House. Do you have the entrance fee, address and postcode, please?",4
Ok thank you. I am also looking for information on La Tasca restaurant. Could you help me with that?,3
Can I get their post code?,3
Can I get their post code?,4
I need a taxi leaving after 21:00.,4
I am leaving from scudamores punting co and want to go to the slug and lettuce.,4
"I want to take a train to cambridge on monday, what's available?",4
"I want to take a train to cambridge on monday, what's available?",3
"I am going to Cambridge, from Birmimgnham New Street.",4
I'd like to leave after 17:00. When would I arrive?,4
Yes. Please book that train.,4
Great! Is there a restaurant called la raza near by?,3
"Great. I would like to book a table for 5 people at 21:00 on the same day, please.",2
How about 20:00?,2
"On my trip to Cambridge, I am looking for a hotel named Arbury Lodge Guesthouse, Can you find that for me please.",1
"On my trip to Cambridge, I am looking for a hotel named Arbury Lodge Guesthouse, Can you find that for me please.",4
Great can you please book me for that hotel for 2 people 3 nights starting this Saturday.,0
Great can you please book me for that hotel for 2 people 3 nights starting this Saturday.,4
I am also looking for a train departing from Kings Lynn after 11:30.,4
"Yes, on Saturday and arriving in Cambridge. Please book three adult tickets.",0
"Yes, on Saturday and arriving in Cambridge. Please book three adult tickets.",4
I'm hoping to catch a train to London Kings Cross.,4
I need to leave after 19:00.,4
I will be departing from cambridge.,4
Anytime after that would be great. I also need tickets for 5 people.,4
I'll be leaving on a Sunday.,4
Yes 5 please. Do you know the Williams Art & Antiques?,4
Yes 5 please. Do you know the Williams Art & Antiques?,4
"Yes, what type of attraction is it?",4
I want to eat some african food in the centre. What do you have for me?,3
Could I get the address please?,3
also looking for a particular hotel. Its name is called leverton house,1
Yes I would. I need to book a room for Saturday for 4 nights.,1
4 people. I'll need a reference number too.,0
I'm looking for a 0 star hotel that is expensive.,1
What star ratings do you have for hotels in the centre?,1
What star ratings do you have for hotels in the centre?,4
Can you check for one in the moderate price range.,1
Yes please do a search for ones in the centre area.,1
Yes please do a search for ones in the centre area.,4
"Yes, I need a reservation for 3 people, 3 nights starting Wednesday and I also need the reference number.",0
Thank you. I would also like entertainment options in the same area as you booked the hotel.,4
Yes what about a museum.,4
"On second thought, I'd really like an entertainment venue.",4
Can you look for a architecture?,4
Please send me their address,4
I would like to know if you have any information on a place called Tang Chinese?,3
Are you able to book a reservation or do I have to call them?,3
Saturday at 15:15. The reservation is for 1 person. I also need a train departing from Cambridge that will arrive at my destination by 16:30.,2
Saturday at 15:15. The reservation is for 1 person. I also need a train departing from Cambridge that will arrive at my destination by 16:30.,4
My destination is broxbourne on sunday.,4
"Hello, I'm looking for a train to Birmingham New Street that will leave on Wednesday.",4
"Hello, I'm looking for a train to Birmingham New Street that will leave on Wednesday.",3
"Departing time, no, but I'd like to arrive at birmingham new street by 16:45",4
